Lyric,Label
"Come calm my anger

Our love is like a perfect sky
Deep blue and the sun is shining
But it seems that sometimes
There have to be some clouds

And suddenly I feel this destructive anger
Deep inside
And suddenly I feel this destructive anger
Is about to rise

Please come and calm this anger
You're the one to calm this anger
And if you can't calm this anger
It'll surely devour me this anger

Dark clouds is a perfect sky
And the air is getting colder
The rain starts to fall
We feel stormy wind in our faces

And suddenly I feel this destructive anger
Deep inside
And suddenly I feel this destructive anger
Is about to rise

Please come and calm this anger
You're the one to calm this anger
And if you can't calm this anger
It'll surely devour me this anger

Glaring lightning breaks the clouds
And thunder is rumbling loudly
The elements have turned mad
It seems that it all will break down

Please come and calm this anger
You're the one to calm this anger
And if you can't calm this anger
It'll surely devour me this anger




",4
"I was walking through the night
Suddenly I remarked a sound in the winds
An angel like voice singing a tale

Through the cold and stormy night
Flies an angel
The black angel
White skin, red lips and long black hair,
Her wing is broken
The guardian angel

Listening breathless to her voice
Which has touched me right there in my heart
I felt the tears run down my face

Through the cold and stormy night
Flies an angel
The black angel
White skin, red lips and long black hair,
Her wing is broken
The guardian angel

The storm drags on her clothes
Like an invisible warrior
Her wing broke with a sound
So disgusting that it froze my heart
Her voice became weaker
Losing this fight of blackness




",4
"Why can't I hear you breath
Why can't I hold you now

You just told me on the phone
Bad news I can't believe they're true
Fate is so cruel to you it seems
It caught you at your weakest point
Nothing left of your whole world
Besides chaos and smoking ruins
You thought there's nothing more to lose
You're wrong and he presents the proof

Please fight the devil inside you
Not enough time for us to spend

Why can't I hear you breath
Why can't I hold you now

You will need all of your strength
I hope that you can carry on
You fought the shadows of the ghosts
Now he's the one you will fight next
Knocking at your door as if
He is a guest you like to see
Don't let him in, just push him back
He is not welcome in your house

Please fight the devil inside you
Not enough time for us to spend




",4
"Your cold cold heart has drowned my life in pain
Your cold cold heart has tortured my mind and soul

You have never learnt
To leave your prison
Your heart lies in chains
And who will break them
Your heart lies in chains

Maybe you will find a way to forgive yourself
Your cold cold heart has drowned my life in pain
Maybe one day you will find the peace for your mind
Your cold cold heart has tortured my mind and soul

It tears you all apart
Restrained emotions
You're denying all your feelings
And it will break you
You're denying all your feelings

Maybe you will find a way to forgive yourself
Your cold cold heart has drowned my life in pain
Maybe one day you will find the peace for your mind
Your cold cold heart has tortured my mind and soul

Your cold cold heart has drowned my life in pain
Your cold cold heart has tortured my mind and soul
Your cold cold heart made wounds so deep, they will never heal




",3
"He took my soul
Took my soul
In his hands
My mind got dark
Mind got dark
In his hands

When did I begin
To follow the shadows
They fill my dreams with pain and sadness
When did I begin
To feel the sorrows
Then I laid my soul into your hands

He said sweet words
Said sweet words
With his voice
He seduced me softly
Seduced you
With his voice

When did I begin
To follow the shadows
They fill my dreams with pain and sadness
When did I begin
To feel the sorrows
Then I laid my soul into your hands

Once times were not so dark
But then the shadows took hold
Of my soul
Since then I feel
My mind's lost in madness

Lost my soul
In the dark
Lost my mind
In the dark




",5
"Peel off my skin, make me helpless
Taste my body
Let me die in your sweet embrace

I never thought that I could find
Someone like you and still
I feel the union of souls
I never thought that I could find
A love so perfect and still
I'm here in your arms

Peel off my skin, make me helpless
Taste my body
Let me die in your sweet embrace

I never thought that I could find
Peace of mind and still
I'm staying here with you
I never thought that I could find
A lust so devouring and still
I'm caught in this passion
I never thought that I could find
All I was searching and still
I found you




",8
"The long summer
Has gone
The autumn leaves
Start to fall

Yesterday I was touched by the breath of winter
His cold fingers searched for my heart
But in my heart I felt the warmth of this summer
So the first snowflakes melted away

The long summer
Has gone
The autumn leaves
Start to fall

I felt the world hold its breath
And everything turned slower
All was silent, softened by the snow
The world is going to sleep now
In a freezing white coat
But I know what I will see its rebirth

Silently
The world's breath is slow
Silently
The first snowflakes fall




",5
"In a night so long ago
We made this eternal vow

We are brothers
Raised by our mother?s loving hand
We are brothers
Forever together we will stand

Since the day that you were born
I felt your special energy
In your body painfully torn
They are too blind they cannot see

We are brothers
Raised by our mother?s loving hand
We are brothers
Forever together we will stand

Wherever you go, they listen to you
A perfect body hides a perfect soul
One day to come they?ll follow
Eternal truth will be our highest goal

Be aware of your fate
Your future looks black
Fire in the air
Burn!

We make this eternal vow
Through us your love will grow
Oh mother you will see
Your knowledge sets us free

We are brothers
Raised by our mother?s loving hand
We are brothers
Forever together we will stand",6
"Burn!
Destroy!
Die!

Now the time has come
To destroy everything we had before
Are you ready for the run
Through a painful river to the other shore

Come with me 'cause I save you
Salvation
O Brother don't you see you crossed the line
I'm waiting with arms wide open
Salvation
Into your arms we run, you shall be our redeemer lead
Us to salvation

I swear tonight
I'll be the guardian of your fate
For the rest of my life
My dearest maid
Of the ones I loved the most
But I lost them forever now

Oh Mother he killed them all but still
I hear someone's crying


St'hnen und Schreien

You are the only one who's left
My dearest maiden

Now the time has come
We destroyed everything we had before
We are already on the run
Through the painful river to the other shore

In my arms you all are burning
Salvation
Oh brother don't leave me forever now
I'm dying 'cause I save you
Salvation
In your arms we burn you are not a redeemer there is no
Salvation

I swear tonight
I'll be the guardian of your fate
For the rest of my life
My dearest maid
Of the ones I loved the most
But I lost them forever now",5
"Past is haunting me, fragments of memory
Disturb my peace of mind
Hours of delight now seem a thousand years away
I was a fool to let you go

My heart and soul are filled with sadness
Deep as gray oceans in your eyes
My heart and soul are filled with sadness
Despair spreads its fingers around my mind

Days of love and hope were followed by aeons of loneliness
As darkness sunk into our hearts
The other one's shadow stood between us
A silent wall of doom darkening the sky

My heart and soul are filled with sadness
Deep as gray oceans in your eyes
My heart and soul are filled with sadness
Despair spreads its fingers around my mind

Only memories remain in a world now cold and dark
Where flowers grew, now dust has covered everything
Crying doesn't help anymore so what can I do?
Torn in pieces is my heart, I don't know where to go

My heart and soul are filled with sadness
Deep as gray oceans in your eyes
My heart and soul are filled with sadness
Despair spreads its fingers around my mind

God, how I wish you back
But my mistakes can never be undone
And I fear you forgot our love

",6
"Don't dare to leave
You can't make a single step without me
Don't dare to go
Or you will be lost forever
Oh, do you remember
Your heart and soul are in my hand

Innocent hearts are made of glass
Fragile and pure
Innocent hearts break easily
Innocent hearts are open books
Lovely to read
Innocent hearts burn easily

Stay here with me
One last step our souls will be redeemed
Stay her with me
You will lose her forever
Oh, do you remember
Your heart and soul are in my hand


Innocent hearts are made of glass
Fragile and pure
Innocent hearts break easily
Innocent hearts are open books
Lovely to read
Innocent hearts burn easily

You belong to us
You can't leave now
You belong to us
You are a part of us
You can't go now
You are a part of us

Innocent hearts are made of glass
Fragile and pure
Innocent hearts break easily
Innocent hearts are open books
Lovely to read
Innocent hearts burn easily",7
"We will rise
From the ashes
Many days and many years
I tried to live how she told me
But I was yearning for something more
To fill the emptiness inside
And it never was enough
To fill me up
And it never was enough

For my restless mind
Phoenix from the ashes
Our wounds will be healed
Phoenix from the ashes

We'll be born again and rise
Now that I have found a way

To salvation I know I will be
So much stronger than before

Nothing will ever break me
And it's gonna be enough
To fill me up
And it's gonna be enough
For my restless mind

Phoenix from the ashes
Our wounds will be healed
Phoenix from the ashes
We'll be born again and rise

We will rise
From the ashes",6
"Like young birds in the sky they have to use
Their own wings and fly
But if you take them too high
They will fall and die

Leave me alone

Oh brother
Wake up, stand up, you are still living in a world of
Dreams
My brother
Wake up, stand up and join the keepers of the truth
Oh brother
Wake up, stand up, they are too weak alone it seems
My brother
Wake up, stand up, remember the promise of our youth

We will follow him to the sky so high
We will never fall, we will never die
You're an eagle in the sky
You know how to use your wings to fly
But if you rise to high
You will fall and die

Leave me alone

Oh brother
Wake up, stand up, you are still living in a world of
Dreams
My brother
Wake up, stand up and join the keepers of the truth
Oh brother
Wake up, stand up, they are too weak alone it seems
My brother
Wake up, stand up, remember the promise of our youth
Oh brother
Wake up, stand up, you are still living in a world of
Dreams
My brother
Wake up, stand up, remember the promise of our youth

Leave me alone

Remember the Promise",6
"It was a hard way to get here
But now it seems so clear
I'll find everything inside of me

Mind body and soul
Life love and healing
Connect be connected
Nine words to change your whole life

Oh mother, keeper of eternal truth

You show me the way
You show me that everything I ever need in my whole
life
Lies there inside of me
Lies there inside of me

Feeling useless and ashamed
I was the one to blame
Thought there's nothing good inside of me

Mind body and soul
Life love and healing
Connect be connected
Nine words to change your whole life

Oh mother, seekers find truth in you

You show me the way
You show me that everything I ever need in my whole
life
Lies there inside of me.
Lies there inside of me

You show me the way
You show me that everything lies there inside of me

You show me the way
You show me that everything I ever need in my whole
life
Lies there inside of me
Lies there inside of me
Lies there inside of me
Lies there inside of me",6
"Time heals the wounded but my heart still
Bleeds,
I can't get you out of my life
Here is my confession, you're all I need
I don't want to love you but oh oh oh

With the touch of your hand I come undone
With the flash of your burning eyes I know
That you're the only one
I come, I come undone, I come undone

Your footsteps are heartbeats
There's knocking on my door
I swore that I won't let you in
Love's got its heroes but I know that I just
Can't hold out forever and oh, oh oh


With the touch of your hand I come undone
With the flash of your burning eyes I know
That you're the only one
I come, I come undone, I come undone

Don't know what you're doing to me
Cause when your arms reach out I'm gone
Here is my confession, you're all that I need
I don't want to love you but oh, oh oh

With the touch of your hand I come undone
With the flash of your burning eyes I know that
You're the only one
I come, I come undone, I come, I come undone",6
"You are not an enemy anymore
There's a ray of light upon your face now
I can look into your eyes
And I never thought
It could be so simple
You can hear the music with no sounds
You can heal my heart without me knowing
I can cry in front of you
'Cause you're not afraid to face my weakness

When we'll wake up
Some morning rain
Will wash away our pain
When we'll wake up
Some morning rain
Will wash away our pain

'Cause it never began for us
It'll never end for us
'Cause it never began for us
It'll never end for us

You're not my enemy anymore
There's a ray of light upon your face now
It will be all new again
There is something else
Just 'round the corner

So when we'll wake up
Some morning rain
Will wash away our pain
When we'll wake up
Some morning rain
Will wash away our pain

'Cause it never began for us
It'll never end for us
'Cause it never began for us
It'll never end for us

I was looking for a place to stay
Are you looking for a place to stay

No it never began for us
'Cause it never began for us
It'll never end for us
'Cause it never began for us
It'll never end for us
'Cause it never began for us
It'll never end for us
'Cause it never began for us
It'll never end for us",6
"Deve ser bom, deve ser bom
To fechado pra balanco
Meu saldo deve ser bom
Deve  ser bom
Vou sambar de roda um pouco
Um xaxado bem guardado
E mais algum trocado
Se tiver gingado eu T, eu t, eu t
Eu t de corpo fechado, eu t, eu t
Deve ser bom, deve ser bom
T fechado pra balanco
Meu saldo deve ser bom
Um pouco da minha grana

Vais ter saudade, baiana
Ponho sempre por semana
Cinco cartas no correio
Gasto sola de sapato
Mas aqui custa barato
Cada sola de sapato
Custa um samba, um samba e meio
O resto
O resto nao d despesa
Viver nao me custa nada
Viver s me custa a vida
E a minha vida foi dada",5
"Once there was a way to get back homeward
Once there was a way to get back home
Sleep little darling, do not cry
And I will sing a lullaby

Once there was a way to get back homeward
Once there was a way to get back home
Sleep little darling, do not cry
And I will sing a lullaby

Golden slumbers fill your eyes
Smiles awake you when you will rise
Sleep little darling, do not cry
And I will sing a lullaby

Boy you gonna carry that weight
Carry that weight in a long time

Golden Slumbers fill your eyes
Smiles awake you when you will rise
Sleep little darling, do not cry
And I will sing a lullaby

Boy you gonna carry that weight
Carry that weight in a long time",5
"Gracias a la vida que me ha dado tanto
Me dio dos luceros, que cuando los abro,
Perfecto distingo lo negro del blanco
Y en el alto cielo su fondo estrellado
Y en las multitudes el hombre que yo amo

Gracias a la vida que me ha dado tanto
Me ha dado el oido que en todo su ancho
Graba noche y dia, grillos y canarios,
Martillos, turbinas, ladridos, chubascos,
Y la voz tan tierna de mi bien amado

Gracias a la vida que me ha dado tanto
Me ha dado el sonido y el abecedario;
Con el las palabras que pienso y declaro:
Madre, amigo, hermano, y luz alumbrando
La ruta del alma del que estoy amando

Gracias a la vida que me ha dado tanto
Me ha dado la marcha de mis pies cansados;
Con ellos anduve ciudades y charcos,
Playas y desiertos, montanas y llanos,
Y la casa tuya, tu calle y tu patio

Gracias a la vida que me ha dado tanto
Me dio el corazon que agita su marco
Cuando miro el fruto del cerebro humano,
Cuando miro al bueno tan lejos del malo,
Cuando miro al fondo de tus ojos claros

Gracias a la vida que me ha dado tanto
Me ha dado la risa y me ha dado el llanto
Asi yo distingo dicha de quebranto,
Los dos materiales que forman mi canto,
Y el canto de ustedes que es mi mismo canto,
Y el canto de todos que es mi propio canto
Gracias a la vida que me ha dado tant",5
"Sad is to live in solitude
Far from your tranquil altitude
Sad is to know that no one ever can live on a dream
That never can be, will never be
Dreamer awake, wake up and see.

Your beauty is an aeroplane
So high my heart can't bear the strain
A heart that stops when you pass by
Only to cause me pain
Sad is to live in solitude",5
"Let someone start believing in you
Let him hold out his hand
Let him touch you and watch what happens
When someone who can look in your eyes
And see into your heart
Let him find you and watch what happens
Cold
No, I won't believe your heart is cold
Maybe just afraid
To be broken again
Let someone with a deep love to give
Give that deep love to you
And what magic you'll see
Let someone give his heart
Someone who cares like me
Let someone give his heart

Cold
No, I won't believe your heart is cold
Maybe just afraid
To be broken again
Let someone with a deep love to give
Give that deep love to you
And what magic you'll see
Let someone give his heart
Someone who cares like me
Let someone give his heart
Someone who cares like me
Someone who cares like me
Someone who cares like me",5
"Tell me who you are now what you're waiting for
Will you be the same after you've gone through every door
Teach me how to play your game and what you want to be
Will you recognize me when you've lost your honesty

Tell me you'll be happy once you leave us all behind
Tell me about the kingdom you've been building in your mind
Never really living is a lonely way to go
Will you ever understand there's more than what you know

Tell me who you'll be tomorrow
Where will you keep all your sorrow
Tell me who you'll be tomorrow
Where will you keep all your sorrow

Can I talk to you and will you listen will you see
I'll only take an hour of your precious misery
I'll be watching you and now I'm gonna tell you why
I don't think your way of life can take you very high

Tell me who you'll be tomorrow
Where will you keep all your sorrow
Tell me who you'll be tomorrow
Where will you keep all your sorrow

Who will hold your hand
Who will miss you when you're gone
Don't you understand
I'm telling you

Who will ease your pain
Who will love you all along
Come out of the rain

And maybe there is something you can show me maybe not
And maybe your cold silence is the best thing that you ever given me
Will you ever understand there's more than what you know",6
